Grammar Point,Meaning,Korean Example,English Example
이/가,is [subject particle],이름이 뭐예요?,What is your name?
은/는,is / am [topic particle],선생님은 지금 안 계세요.,The teacher is not here now.
을/를,[object particle],책을 읽어요.,I am reading a book.
(이)랑,with,친구랑 같이 왔어요.,I came with a friend.
의,[subject]'s,내 친구의 그림은 아주 멋져요.,My friend's drawing is so awesome.
게,make [adj],싸게 해 주세요.,"Please, make the price cheaper."
ㅂ/습니다,formal polite style,내일 한국에 갑니다.,I am going to Korea tomorrow.
아/어요,informal polite style,좋아요.,That is good.
-에 의해(서),by~,역경은 희망에 의해서 극복할 수 있다.,Hardship can be overcome by hope.
(으)ㄴ 적이 없다,I have not,저는 한국에 가본 적이 없어요.,I have not been to Korea.
(으)ㄹ 수 없다,can not,여기서는 사진을 찍을 수 없어요.,You can't take a photo here.
지 말다,do not,담배 피우지 마세요.,"Please, do not smoke."
지 못하다,can not,도와주지 못 해서 죄송해요.,I am sorry that I can't help much.
지 않다,not,지하철 타지 않고 걸어갈게요.,I will not take a subway and instead I will walk.
이/가 아니다,not,제 물건이 아니에요.,That is not mine.
-(으)ㄴ/는/(으)ㄹ 줄 몰랐다,did not know~,공무원 시험에 합격할 줄 몰랐다.,I did not know that I passed the civil servant examination.
-(으)나 마나,no use to-,길을 물어보나 마나예요.,It is no use to ask him the direction.
-(으)ㄹ지(도) 모르다,don't know~,어떻게 편집해야할지 잘 모르겠어요.,I don't know how I should edit it.
-기는(요),no need to~,고맙기는요. 별말씀을요.,No need to thank me. (No problem.)
-기에(는),not good for~,축구하기에는 날씨가 안 좋아요.,The weather is not good for playing soccer.
아무 -도,no~,아무 걱정도 없어요.,I have no worries at all.
에서,from,공항에서 지하철 타고 왔어요.,I came by subway from the airport.
까지,until,강남까지 가고 싶어요.,I want to go until Gangnam .
부터,from,지하철은 아침 5시부터 운영해요.,The subway operates from 5 am in the morning.
에게서,from,호텔 직원에게서 받았어요.,I got it from the hotel staff.
한테서,from,이거는 친구한테서 선물로 받은 거예요.,I got this as a present from my friend.
-을/를 통해(서),from~,그 배우는 드라마를 통해서 알게 되었어요.,I got to know that actor from a TV series.
에,to,남대문 시장에 가고 싶어요.,I want to go to Namdaemun market.
(으)로,to,저는 학교로 가는 길이에요.,I am on my way to school.
(으)로,to,저는 부산으로 가요.,I am going to Busan.
께,to [polite form],부모님께 드리고 싶어요.,I want to give it to my parents.
께서,[honorific nominative marker],할머니께서 부탁하셨어요.,My grandmother has asked me to.
에게,to,우리 엄마에게 주고 싶어요.,I want to give it to my mother.
한테,to,백화점 안내원한테 물어보세요.,Please ask it to the department store receptionist.
-(으)라고 하다,told me to~,아버지가 빨리 손을 씻으라고 했어요.,Dad told me to wash my hands quickly.
-기 위해(서),to~,문제를 해결하기 위해서 다같이 모였다.,We gathered together to resolve the issue.
-에 대해(서),to~,부부는 서로에 대해서 배려해야 한다.,Married couples have to show respect to each other.
(으)러 가다,go (in order) to,한국에 관광하러 갈 거예요.,I will go to Korea to travel.
(으)러 오다,come (in order) to,여기에 예약하러 왔어요.,I came here to make a reservation.
는데,for,입국심사하는데 별로 많이 안 기다렸어요.,I didn't wait much for immigration.
-(으)려면,in order to~,기념사진을 찍으려면 배경은 아름다워야한다.,"In order to take a memorial picture, the background has to be beautiful."
-느라고,for~,숙제하느라고 삼촌을 만날 시간이 없었다. | I was busy with homework that I didn't have time to meet my uncle.,
-도록,so that~,이 은혜를 갚도록 항상 최선을 다하겠습니다.,I will try my best to return this favor.
-에 관해(서),about~,인기 가수에 관해서 새로운 뉴스가 나왔어요.,The latest news about a famous singer got released.
치고(는),for~,아이돌치고는 나이가 많다.,He is old for an idol.
(으)ㄴ데(요),although,"역에서 좀 먼데요,","Although it is a little far from the station,"
-(으)ㄴ/는 반면(에),Although ~,택시는 편리한 반면에 지하철보다 비싼다.,"Although a taxi is convenient, it is more expensive than a subway."
(으)ㄴ 지,since,한국에 온 지 3일이 지났습니다.,Three days have passed since I came to Korea.
(으)니까,because / since,달러 밖에 없으니까 환전해야 돼요.,I need to exchange money because I only have dollars.
(으)면,if,부산에 가면 뭘 볼 수 있을까요?,What can I see if I go to Busan?
기 때문에,because of,너무 많이 걸었기 때문에 다리가 아파요.,My leg hurts because of walking too much.
-(으)ㄴ/는 걸 보니(까),since~,돈을 많이 쓰는 걸 보니 부자인가 봐.,He must be rich since he is using a lot of money.
-(으)ㄴ/는 탓에,Because~ (negative),운동 안 한 탓에 살이 많이 쪘어요.,"Because I did not work out, I gained a lot of weight."
-(으)니까(요),Because~ (neutral),열심히 공부하니까 성적이 우수하다.,"Because he studies hard, he is a good student."
-(으)로 인해(서),due to~,그 이야기는 인터넷으로 인해 확산되었다.,The story is widespread due to the Internet.
-거든,because,어려보여도 제가 상사거든요.,Because I am your boss even though I look young.
-길래,since~,남편이 레스토랑에 안 오길래 난 바람맞은 줄 알았다.,"Since my husband did not come to a restaurant, I thought he cancel the plan at the last minute."
-ㄴ/는다고 치다,if~,일본에 간다고 치면 어디로 갈까요?,"If I go to Japan, where should I visit?"
-ㄴ/는다면,if~,운동선수가 되고 싶다면 전문학원에 등록해야 돼.,"If you want to be an athlete, you need to register for a professional academy."
-는 덕분에,thanks to~,버스가 늦게 온 덕분에 탈 수 있었다.,I was able to ride the bus thanks to the fact that it was delayed.
-는 바람에,because~,공부를 안 하는 바람에 성적이 떨어졌어요.,My grade dropped because I did not study.
-는 통에,because~,아이들이 떠드는 통에 집중할 수 없었어요.,I was not able to concentrate because the children were too noisy.
-아/어서 그런지,probably becase~,나이가 들어서 그런지 몸이 예전같지 않다.,I feel not as strong as before probably because I am getting old.
와/과,and,토미 씨와 친구예요.,Tommy and I are friends.
(이)랑,and,설렁탕이랑 김밥 주세요.,"Please, give me seoulleongtang and kimbap."
하고,and,양념 치킨하고 맥주 주세요.,"Please, give me yangnyeom chicken and beer."
도,also / as well,내일도 오늘도 비가 와요.,It is raining also today and tomorrow.
거나,and/or,시장에 가거나 카페에 가고 싶어요.,I want to go to a market or a café.
고,and (then),밥 먹고 자요.,I will eat food and sleep.
-(으)ㄹ 겸 (해서),And also,그에게 사과할 겸 해서 편지를 썼어요.,I wrote a letter and also apologize.
-(으)며,and~,내 남자친구는 피아노도 잘 치며 노래도 잘한다.,My boyfriend is good at playing piano and singing.
-는 한편,also~,회사에 다니는 한편 부업도 한다.,I am working at a company and also doing a side job.
-을/를 비롯한,including~,나를 비롯한 모든 사람들이 그 아이디어에 찬성한다.,Everybody including me agreed on the idea.
아무 -(이)나,any~,아무 옷이나 가져오세요.,Bring any kind of clothes.
(이)나,or,버스나 지하철 타고 갈게요.,I will take a bus or a subway.
(이)나,rather,밥이나 먹으러 가고 싶어요.,I want to rather go eat.
-ㄴ/는다거나,or~,독서한다거나 영화를 보러 간다.,I read some books or go watch a movie.
-는 대신(에),instead of~,술을 마시는 대신에 녹차를 마시자.,Let's drink green tea instead of alcohol.
(이)라도,rather~,이 문제지라도 풀어볼래요?,Would you like to rather solve this problem?
(으)ㄴ데(요),but,"죄송한데요, 길 좀 알려줄 수 있어요?","Excuse me, but can you tell me the way?"
지만,but / however,오래 전에 주문했지만 요리가 아직 안 왔어요.,"We have ordered the dishes a while ago, but they are not here yet."
-(으)ㄴ/는걸(요) ~,though.,아직 졸린걸요.,I am still sleepy though.
-(으)ㄴ/는데(요),But ~,이 요리는 생각보다 맛있는데요.,But this dish is more delicious than I thought.
-기는 하지만,but~,한국어는 어렵기는 하지만 재미도 있어요.,Korean is difficult but fun to learn.
-ㄴ/는다더니,but~,우리 남편은 일찍 돌아온다더니 아직도 집에 안 왔다.,"My husband said he will be back soon, but he was still not home."
(으)ㄴ 후에,after,쇼핑한 후에 밥 먹었습니다.,I ate after shopping.
기 전에,before,결제하기 전에 확인하고 싶은 게 있는데요.,I want to check something before making the payment.
-고 나니(까),after~,푹 쉬고 나니 열이 내려갔어요.,"After resting well, the fever got better."
-고 나면,after~,청소하고 나면 기분이 상쾌해진다.,"After cleaning the house, I feel refreshed."
-고 나서,after~,이메일 먼저 확인하고 나서 연락드릴게요.,"After checking the e-mail first, I will contact with you."
-고 말다,ended up~,밤늦게까지 게임하고 말았어요.,I ended up playing a game until late at night.
-더니 ~and,then,강의에 늦었더니 강사님이 야단치셨다.,I was late for class and then the teacher scolded me.
처럼,like / similar to,배우처럼 생기셨네요.,You look like an actor.
-(으)ㄴ/는 만큼,as much as (doing sth.),웃는 만큼 인생은 행복해진다.,Life becomes more fun as much as you laugh.
-(으)니만큼,As~,노력하니만큼 결과가 기대된다.,"As I tried hard, I am looking forward to the result."
-(으)ㄹ수록 (adj.)er,as~,가면 갈수록 그 산길은 힘들어져요.,The mountain road is getting harder as you go further.
-(으)로서,as a~,선배로서 충고 하나 할게.,Let me give you some advice as a senior.
-(으)므로,as (sub.) needs to~,아침 일찍 일어나야 하므로 이제 잡니다.,"As I need to wake up early in the morning, I am going to sleep now."
-기만 하면 (되다),as long as~,단어를 외우기만 하면 100점이다.,"As long as you memorize the vocabulary, you will get a full score."
